Unnamed: 0;lat;long;bm_dens;bm_size;bm_dead
5136;56.95084284;8.943549;0;0;0
5137;56.95083386;8.943549;0;0;0
5138;56.95082489;8.943549;0;0;0
5139;56.95081591;8.943549;0;0;0
5140;56.95080693;8.943549;0;0;0
5141;56.95079796;8.943549;0;0;0
5142;56.95078898;8.943549;0;0;0
5143;56.95078001;8.943549;0;0;0
5144;56.95077103;8.943549;0;0;0
5145;56.95076206;8.943549;0;0;0
5146;56.95075308;8.943549;0;0;0
5147;56.9507441;8.943549;0;0;0
5148;56.95073513;8.943549;0;0;0
5149;56.95072615;8.943549;0;0;0
5150;56.95071718;8.943549;0;0;0
5151;56.9507082;8.943549;0;0;0
5152;56.95069923;8.943549;0;0;0
5153;56.95069025;8.943549;0;0;0
5154;56.95068127;8.943549;0;0;0
5155;56.9506723;8.943549;0;0;0
5156;56.95066332;8.943549;0;0;0
5157;56.95065435;8.943549;0;0;0
5158;56.95064537;8.943549;0;0;0
5159;56.9506364;8.943549;0;0;0
5160;56.95062742;8.943549;0;0;0
5161;56.95061844;8.943549;0;0;0
5162;56.95060947;8.943549;0;0;0
5163;56.95060049;8.943549;0;0;0
5164;56.95059152;8.943549;0;0;0
5165;56.95058254;8.943549;0;0;0
5166;56.95057357;8.943549;0;0;0
5167;56.95056459;8.943549;0;0;0
5168;56.95055561;8.943549;0;0;0
5169;56.95054664;8.943549;0;0;0
5170;56.95053766;8.943549;0;0;0
5171;56.95052869;8.943549;0;0;0
5172;56.95051971;8.943549;0;0;0
5173;56.95051074;8.943549;0;0;0
5174;56.95050176;8.943549;0;0;0
5175;56.95049278;8.943549;0;0;0
5176;56.95048381;8.943549;0;0;0
5177;56.95047483;8.943549;0;0;0
5178;56.95046586;8.943549;0;0;0
5179;56.95045688;8.943549;0;0;0
5180;56.95044791;8.943549;0;0;0
5181;56.95043893;8.943549;0;0;0
5182;56.95042995;8.943549;0;0;0
5183;56.95042098;8.943549;0;0;0
5184;56.950412;8.943549;0;0;0
5185;56.95040303;8.943549;0;0;0
